street,latitude,longitude,mrt_stations,mrt_latitude,mrt_longitude,mrt_nearest_distance_m
TANJONG RHU ROAD,1.29662403711841,103.87430454892625,TANJONG RHU MRT STATION (TE23),1.29726507940646,103.873453254621,118.32322860759447
STIRLING ROAD,1.29267425403127,103.80666324335688,QUEENSTOWN MRT STATION (EW19),1.29455085184931,103.806077155982,217.51463896911818
FLORA DRIVE,1.3541073056171706,103.96774997162686,TAMPINES EAST MRT STATION (DT33),1.35619148271544,103.9546344625,1477.6914022869682
ARTHUR ROAD,1.2995893530595894,103.88803342433518,KATONG PARK MRT STATION (TE24),1.29783147778951,103.886178949925,283.50975738152715
GEYLANG EAST AVENUE 2,1.3168663519589228,103.88886458185677,PAYA LEBAR MRT STATION (CC9),1.3172473854035,103.892260753884,380.302216425568
LORONG LEW LIAN,1.351385755595366,103.87634346569314,SERANGOON MRT STATION (NE12),1.34970788089564,103.873574849884,359.6625281514452
TANAH MERAH KECHIL ROAD,1.3270870992370192,103.94274908760974,TANAH MERAH MRT STATION (EW4),1.32718729074675,103.946348600798,400.7431342092892
CARDIFF GROVE,1.3549624659864552,103.86579795842206,LORONG CHUAN MRT STATION (CC14),1.35161217074555,103.864151938651,413.27438026514665
WEST COAST ROAD,1.294455883210807,103.7689203126866,KENT RIDGE MRT STATION (CC24),1.29353349887123,103.784572738173,1744.9627869788976
HILLVIEW RISE,1.3641057456990862,103.76367099249912,HILLVIEW MRT STATION (DT3),1.36234486803558,103.767418254007,460.24178769559046
JURONG LAKE LINK,1.3451369788131922,103.72597121361072,LAKESIDE MRT STATION (EW26),1.34425911493819,103.720949087456,567.2754328403529
HILLVIEW AVENUE,1.355909051755491,103.76073531598354,HUME MRT STATION (DT4),1.3545953239503,103.769118851887,944.2333820762831
BISHAN STREET 15,1.3527606992939187,103.85096310756208,BISHAN MRT STATION (CC15),1.35131580146658,103.84914026532,258.2230932513506
SERANGOON AVENUE 3,1.3503472836646075,103.86332198925736,LORONG CHUAN MRT STATION (CC14),1.35161217074555,103.864151938651,167.61047713905486
RIVER VALLEY ROAD,1.2943410506219957,103.82844028238412,GREAT WORLD MRT STATION (TE15),1.29394816169384,103.833720837731,589.2833699109668
JALAN BUKIT HO SWEE,1.287058597655219,103.827787531999,TIONG BAHRU MRT STATION (EW17),1.28610253615775,103.827445112419,112.37525331992899
BUKIT BATOK STREET 52,1.3548763119837628,103.7531380430425,BUKIT GOMBAK MRT STATION (NS3),1.35861159094192,103.751790910733,439.3958282769528
TOH TUCK ROAD,1.3390465480815834,103.77158775335936,BEAUTY WORLD MRT STATION (DT5),1.34122317558549,103.775794285083,526.3877039270716
LORONG CHUAN,1.349887666730464,103.86045179462768,LORONG CHUAN MRT STATION (CC14),1.35161217074555,103.864151938651,453.7928662503734
COMPASSVALE ROAD,1.3888619645255549,103.89644750029252,SENGKANG MRT STATION (NE16),1.39169462601522,103.895484694279,331.0413561006194
FERNVALE STREET,1.397993195752828,103.8752697583492,SENGKANG MRT STATION (NE16),1.39169462601522,103.895484694279,2354.996800201107
CHOA CHU KANG LOOP,1.3865270993765182,103.74334198431248,CHOA CHU KANG MRT STATION (NS4),1.38536316540225,103.744370779756,172.25738185471837
DRAYCOTT PARK,1.3113884126408737,103.83218202898564,NEWTON MRT STATION (NS21),1.3123189224097,103.837984594021,653.9158836664058
TAMPINES STREET 86,1.3539046355161577,103.92860647866084,TAMPINES WEST MRT STATION (DT31),1.34551530560119,103.938436971222,1434.3735969672525
TAMPINES STREET 86,1.3512844009932277,103.92717471706622,TAMPINES WEST MRT STATION (DT31),1.34551530560119,103.938436971222,1406.3656771780834
HILLVIEW RISE,1.364790399712292,103.76416893366392,HILLVIEW MRT STATION (DT3),1.36234486803558,103.767418254007,451.5381755371503
BUKIT BATOK EAST AVENUE 2,1.3520262739382234,103.75737216619596,BUKIT BATOK MRT STATION (NS2),1.34903331201636,103.749566478309,929.592185459601
JURONG LAKE LINK,1.3455985411442866,103.724023040218,LAKESIDE MRT STATION (EW26),1.34425911493819,103.720949087456,372.78235467046085
CANBERRA DRIVE,1.438788976699242,103.83104275841204,CANBERRA MRT STATION (NS12),1.44307664075699,103.829702590959,497.0125205753228
KOVAN ROAD,1.3610780830618483,103.88525140239528,KOVAN MRT STATION (NE13),1.36017917065237,103.885064856353,101.54209070670701
ANG MO KIO CENTRAL 3,1.376437298613225,103.84672340509034,YIO CHU KANG MRT STATION (NS15),1.38175587099132,103.84494727118,620.429291547698
LORONG 5 TOA PAYOH,1.3393382098846685,103.85122473635838,BRADDELL MRT STATION (NS18),1.3404690010277,103.846799083148,508.1513401356658
GEYLANG EAST AVENUE 1,1.3172278260998425,103.88501590534123,ALJUNIED MRT STATION (EW9),1.3164326118157,103.882906044385,250.73133502900754
CORPORATION ROAD,1.344777100802906,103.71700553481551,LAKESIDE MRT STATION (EW26),1.34425911493819,103.720949087456,442.5968025488998
WEST COAST PARK,1.3187335610612183,103.75462194912517,CLEMENTI MRT STATION (EW23),1.31511625277378,103.765191452888,1242.4295244051991
PETIR ROAD,1.369261685839679,103.77649888786524,HILLVIEW MRT STATION (DT3),1.36234486803558,103.767418254007,1267.361665598649
TANJONG RHU ROAD,1.2980890246016448,103.87104933330444,TANJONG RHU MRT STATION (TE23),1.29726507940646,103.873453254621,282.62285193933553
PASIR RIS HEIGHTS,1.3823276810293526,103.94078168451678,PASIR RIS MRT STATION (EW1),1.37304331635804,103.949284527763,1396.1949803337538
AMBER ROAD,1.303365144761378,103.90197413029198,MARINE PARADE MRT STATION (TE26),1.30261163483383,103.904983086812,345.07947274201246
JALAN EUNOS,1.3275838505606163,103.9074288852449,KAKI BUKIT MRT STATION (DT28),1.33496735995428,103.908459338046,824.4460822343789
MOUNT VERNON ROAD,1.3410912750446702,103.88145756437616,BARTLEY MRT STATION (CC12),1.34250117805245,103.880177899184,211.15450666691942
COMPASSVALE BOW,1.3804694925529364,103.8943184522844,BUANGKOK MRT STATION (NE15),1.38287001971672,103.893122569706,296.9335381105098
CANBERRA DRIVE,1.440184140656832,103.8305722683071,CANBERRA MRT STATION (NS12),1.44307664075699,103.829702590959,334.1603093625205
PASIR RIS LINK,1.3781221764223817,103.96023426564192,PASIR RIS MRT STATION (EW1),1.37304331635804,103.949284527763,1341.7563733138675
WEST COAST CRESCENT,1.2989145936878803,103.76445303124956,CLEMENTI MRT STATION (EW23),1.31511625277378,103.765191452888,1793.381247590486
WEST COAST ROAD,1.296737346631761,103.76819367598496,KENT RIDGE MRT STATION (CC24),1.29353349887123,103.784572738173,1856.9532356288419
WOODLEIGH CLOSE,1.3364082545485718,103.86975047480078,WOODLEIGH MRT STATION (NE11),1.33919004519388,103.87081830915,329.7545450219556
HILLVIEW AVENUE,1.3562871428985748,103.7597837602923,BUKIT GOMBAK MRT STATION (NS3),1.35861159094192,103.751790910733,925.9023614753044
MOUNT FABER ROAD,1.2703680539766609,103.8247119416636,HARBOURFRONT MRT STATION (NE1 / CC29),1.26538938374901,103.821530157095,654.5687342365122
COVE DRIVE,1.244201732516356,103.83981225854374,HARBOURFRONT MRT STATION (NE1 / CC29),1.26538938374901,103.821530157095,3103.0126680616777
SUNRISE AVENUE,1.3899988628032345,103.85728849356832,YIO CHU KANG MRT STATION (NS15),1.38175587099132,103.84494727118,1648.3493089102028
KOVAN ROAD,1.3603566647217986,103.8836370166714,KOVAN MRT STATION (NE13),1.36017917065237,103.885064856353,160.10942326030764
PEMIMPIN DRIVE,1.3521703128454758,103.84096637602696,MARYMOUNT MRT STATION (CC16),1.348707263451,103.839423132332,419.6774386522536
PINE GROVE,1.316695863892564,103.77599440397437,DOVER MRT STATION (EW22),1.31140529320963,103.778637841909,654.8110903810671
ELIAS GREEN,1.3719419889324036,103.94182405611296,PASIR RIS MRT STATION (EW1),1.37304331635804,103.949284527763,839.1443761078282
KEPPEL BAY DRIVE,1.266382684175158,103.81706844553604,HARBOURFRONT MRT STATION (NE1 / CC29),1.26538938374901,103.821530157095,508.55721941819087
PASIR RIS LINK,1.3755605509020776,103.96107272475818,PASIR RIS MRT STATION (EW1),1.37304331635804,103.949284527763,1341.0872958604166
TANJONG RHU ROAD,1.2976912554151645,103.8758468866942,TANJONG RHU MRT STATION (TE23),1.29726507940646,103.873453254621,270.5261487871214
HILLVIEW AVENUE,1.357148513538158,103.75829443322478,BUKIT GOMBAK MRT STATION (NS3),1.35861159094192,103.751790910733,741.6280495929647
CENTRAL BOULEVARD,1.2803449800408624,103.8521432776598,DOWNTOWN MRT STATION (DT17),1.27944638178916,103.852840829581,126.0935648045334
KEPPEL BAY VIEW,1.2671449928930936,103.81100230063198,TELOK BLANGAH MRT STATION (CC28),1.27070647717762,103.809761611219,417.3159607257917
YISHUN AVENUE 1,1.4110482633371029,103.8325132450678,KHATIB MRT STATION (NS14),1.41738337009565,103.832979908243,702.4265562430988
PHOENIX ROAD,1.3769650257966224,103.75636513326762,BUKIT PANJANG MRT STATION (DT1),1.37900211641036,103.761535114929,617.876529529204
BRIGHT HILL DRIVE,1.3596593848152805,103.832691966964,BRIGHT HILL MRT STATION (TE7),1.36328318545185,103.832893619992,401.3293413982691
LEEDON HEIGHTS,1.3162805968110476,103.8045197942378,FARRER ROAD MRT STATION (CC20),1.31743915158967,103.807379214161,343.04374732267956
BAYSHORE ROAD,1.3107719329792031,103.93797790760594,BAYSHORE MRT STATION (TE29),1.31312248291264,103.942309776767,547.6966445660846
DUNDEE ROAD,1.294336667488726,103.80702012733846,QUEENSTOWN MRT STATION (EW19),1.29455085184931,103.806077155982,107.58369045483326
EDGEDALE PLAINS,1.3970455925093976,103.91371813155966,PUNGGOL MRT STATION (NE17),1.40454653668991,103.902072622229,1538.6743875910383
KIM TIAN ROAD,1.2840138869086206,103.82975664254391,TIONG BAHRU MRT STATION (EW17),1.28610253615775,103.827445112419,345.7144851112226
WEST COAST WAY,1.3172517267545043,103.75626041175792,CLEMENTI MRT STATION (EW23),1.31511625277378,103.765191452888,1021.6028979648737
SIMEI STREET 4,1.340706375178139,103.95623977164756,SIMEI MRT STATION (EW3),1.34319707851829,103.953377214378,421.1162732609605
EASTWOOD ROAD,1.3209884192320396,103.95588211994176,TANAH MERAH MRT STATION (EW4),1.32718729074675,103.946348600798,1263.1402014607118
HILLVIEW AVENUE,1.3603444064304366,103.76451501410982,HILLVIEW MRT STATION (DT3),1.36234486803558,103.767418254007,391.56279920973145
PASIR RIS LINK,1.377279878426766,103.96099513407172,PASIR RIS MRT STATION (EW1),1.37304331635804,103.949284527763,1384.8865388208164
WEST COAST CRESCENT,1.2983155629093148,103.76492826974368,CLEMENTI MRT STATION (EW23),1.31511625277378,103.765191452888,1857.9660276085237
DEPOT ROAD,1.282201354238727,103.803023755865,LABRADOR PARK MRT STATION (CC27),1.27225417749656,103.802631578766,1100.7731457295404
BISHAN STREET 21,1.347704452110314,103.8430217606298,MARYMOUNT MRT STATION (CC16),1.348707263451,103.839423132332,415.5547400492809
UPPER PAYA LEBAR ROAD,1.3425768101510769,103.88227640215216,BARTLEY MRT STATION (CC12),1.34250117805245,103.880177899184,233.6903566731962
PASIR RIS GROVE,1.3717875550656364,103.94343399779616,PASIR RIS MRT STATION (EW1),1.37304331635804,103.949284527763,665.7356863557501
LAKESIDE DRIVE,1.3426141871216266,103.7193755672048,LAKESIDE MRT STATION (EW26),1.34425911493819,103.720949087456,252.48540080628982
TANAH MERAH KECHIL AVENUE,1.3280051883946855,103.94697620182,TANAH MERAH MRT STATION (EW4),1.32718729074675,103.946348600798,114.27011225829378
TANAH MERAH KECHIL ROAD,1.3286349483860216,103.9446810515058,TANAH MERAH MRT STATION (EW4),1.32718729074675,103.946348600798,245.08056750022314
RIFLE RANGE ROAD,1.3375438180246653,103.7814586839175,KING ALBERT PARK MRT STATION (DT6),1.33566161262214,103.783399113441,299.9166765389563
STURDEE ROAD,1.31354230356322,103.85837937819872,BENDEMEER MRT STATION (DT23),1.31367252847691,103.862977620945,511.94302741623704
GRANGE ROAD,1.29757247826903,103.82697915937813,ORCHARD BOULEVARD MRT STATION (TE13),1.30242224836722,103.823868523249,638.2963637267433
OCEAN DRIVE,1.2444030379301774,103.84251846914482,HARBOURFRONT MRT STATION (NE1 / CC29),1.26538938374901,103.821530157095,3292.598801653193
PHENG GECK AVENUE,1.3318347854082508,103.86965527462225,POTONG PASIR MRT STATION (NE10),1.33137949021368,103.869055656782,83.59187486910987
DAKOTA CRESCENT,1.3063591636500222,103.88705800833768,DAKOTA MRT STATION (CC8),1.30854798388121,103.889064718377,329.322569877737
TREVOSE CRESCENT,1.3230217604229633,103.82529938578644,STEVENS MRT STATION (DT10),1.32006555750626,103.826024401924,336.69286350019985
HOLLAND ROAD,1.318464639500046,103.77985852432175,DOVER MRT STATION (EW22),1.31140529320963,103.778637841909,792.3198247100161
WEST COAST CRESCENT,1.298235908820501,103.76623463563207,CLEMENTI MRT STATION (EW23),1.31511625277378,103.765191452888,1870.1499120028707
SHUNFU ROAD,1.3518148538609245,103.8382982223072,MARYMOUNT MRT STATION (CC16),1.348707263451,103.839423132332,365.7160420727081
SENGKANG SQUARE,1.3888338896867671,103.8953149617317,SENGKANG MRT STATION (NE16),1.39169462601522,103.895484694279,316.8893704977535
MILTONIA CLOSE,1.418350662615136,103.84727447481382,KHATIB MRT STATION (NS14),1.41738337009565,103.832979908243,1594.3716298947336
HOUGANG STREET 11,1.3514444034172692,103.88181731927492,SERANGOON MRT STATION (NE12),1.34970788089564,103.873574849884,937.1763061278443
JALAN LOYANG BESAR,1.3793919518401545,103.96368774531622,PASIR RIS MRT STATION (EW1),1.37304331635804,103.949284527763,1749.8870360849019
WEST COAST VALE,1.3206143005349047,103.75329091330204,CLEMENTI MRT STATION (EW23),1.31511625277378,103.765191452888,1457.28310259593
ELIAS ROAD,1.377447834407619,103.94160227719895,PASIR RIS MRT STATION (EW1),1.37304331635804,103.949284527763,983.9323105885046
BEDOK SOUTH AVENUE 3,1.323530576272172,103.9455737184478,TANAH MERAH MRT STATION (EW4),1.32718729074675,103.946348600798,413.4354084114264
LORONG 3 TOA PAYOH,1.3380950575574184,103.84677579753767,BRADDELL MRT STATION (NS18),1.3404690010277,103.846799083148,262.51131859656317
RIFLE RANGE ROAD,1.3381940161393278,103.78213404522612,KING ALBERT PARK MRT STATION (DT6),1.33566161262214,103.783399113441,313.421198711024
DOVER RISE,1.3060939479574167,103.78434569653288,BUONA VISTA MRT STATION (EW21),1.3072237082044,103.790253514502,669.2481920489045
BISHAN STREET 15,1.3519880092044536,103.85204278469575,BISHAN MRT STATION (CC15),1.35131580146658,103.84914026532,331.45930955524614
MARINA BOULEVARD,1.2796257989067608,103.8549872038058,DOWNTOWN MRT STATION (DT17),1.27944638178916,103.852840829581,239.69654281393278
TANJONG RHU ROAD,1.2967699689868992,103.87278395843228,TANJONG RHU MRT STATION (TE23),1.29726507940646,103.873453254621,92.44180590041479
MARINE PARADE ROAD,1.2999959196569837,103.90310061621813,MARINE PARADE MRT STATION (TE26),1.30261163483383,103.904983086812,357.13667608543324
MILTONIA CLOSE,1.4168204043347123,103.84895919261665,KHATIB MRT STATION (NS14),1.41738337009565,103.832979908243,1779.3546445654113
RHU CROSS,1.2970862857661207,103.86689876398898,NICOLL HIGHWAY MRT STATION (CC5),1.29976684675139,103.86363696572,468.6471988957931
JURONG WEST STREET 41,1.3462606685567855,103.7228324890997,LAKESIDE MRT STATION (EW26),1.34425911493819,103.720949087456,304.822162794277
ALEXANDRA VIEW,1.2906069454252016,103.81786692016226,REDHILL MRT STATION (EW18),1.28963453412887,103.81674097205,165.11710447739574
WHAMPOA EAST,1.3213353348028691,103.86458734279024,BOON KENG MRT STATION (NE9),1.31933570922514,103.861569454156,402.10906522726833
JALAN LEMPENG,1.3186313361523323,103.76113716107004,CLEMENTI MRT STATION (EW23),1.31511625277378,103.765191452888,595.5308427847906
GATEWAY DRIVE,1.3362963694280343,103.74173137219344,JURONG EAST MRT STATION (EW24 / NS1),1.33315281585758,103.742286332403,353.04273944876974
YIO CHU KANG ROAD,1.3860886231959608,103.84038852782751,LENTOR MRT STATION (TE5),1.38550657972169,103.835743809669,520.8887630048243
DAIRY FARM HEIGHTS,1.3657285140528204,103.77141333324772,HILLVIEW MRT STATION (DT3),1.36234486803558,103.767418254007,581.084775083196
SIN MING WALK,1.3651436409626798,103.83014515696924,BRIGHT HILL MRT STATION (TE7),1.36328318545185,103.832893619992,368.61617164619247
SERANGOON AVENUE 2,1.3489758319129923,103.87098454662382,SERANGOON MRT STATION (CC13),1.35063361526525,103.872771660431,270.47707658211704
CHIN SWEE ROAD,1.2861077603445534,103.83957867557254,CHINATOWN MRT STATION (NE4),1.28435959278583,103.843426681863,469.8565238537933
COVE DRIVE,1.2424409850962668,103.83675517458336,HARBOURFRONT MRT STATION (NE1 / CC29),1.26538938374901,103.821530157095,3051.2459036680543
WOODLEIGH LANE,1.3385388391226674,103.8700799859202,WOODLEIGH MRT STATION (NE11),1.33919004519388,103.87081830915,109.254347365724
JALAN SEMPADAN,1.3113982282261332,103.92747802473296,SIGLAP MRT STATION (TE28),1.31000869432289,103.930025826708,322.5001651032309
PUNGGOL FIELD WALK,1.391989302213717,103.9137514009559,PUNGGOL MRT STATION (NE17),1.40454653668991,103.902072622229,1901.8880995290763
BEDOK RESERVOIR VIEW,1.33740523107706,103.93570827628642,BEDOK RESERVOIR MRT STATION (DT30),1.33660782955099,103.932234623286,396.50919060304585
TAMPINES AVENUE 1,1.3487304971669214,103.92726581503992,TAMPINES WEST MRT STATION (DT31),1.34551530560119,103.938436971222,1293.0622856887928
HARBOURFRONT AVENUE,1.26461000244217,103.8170466137331,HARBOURFRONT MRT STATION (NE1 / CC29),1.26538938374901,103.821530157095,506.3723588697381
PRINCE CHARLES CRESCENT,1.292375067444936,103.82283669393536,REDHILL MRT STATION (EW18),1.28963453412887,103.81674097205,743.0062794635694
UPPER SERANGOON VIEW,1.3735640310835395,103.90169249524584,HOUGANG MRT STATION (NE14),1.37129226620797,103.892380513029,1066.32116810479
TANAH MERAH KECHIL LINK,1.3275760895994406,103.9444987913742,TANAH MERAH MRT STATION (EW4),1.32718729074675,103.946348600798,210.30646450989718
PHENG GECK AVENUE,1.3296441028082675,103.8692331129161,POTONG PASIR MRT STATION (NE10),1.33137949021368,103.869055656782,192.9038750033663
PINE GROVE,1.3181518165355872,103.77514003548278,DOVER MRT STATION (EW22),1.31140529320963,103.778637841909,841.4531391155699
FERNVALE CLOSE,1.394561041720033,103.8815805647222,SENGKANG MRT STATION (NE16),1.39169462601522,103.895484694279,1579.475287968737
TERRASSE LANE,1.368448340691386,103.87706607453096,KOVAN MRT STATION (NE13),1.36017917065237,103.885064856353,1276.112129180206
JALAN SENDUDOK,1.4421659871314434,103.82450398185114,CANBERRA MRT STATION (NS12),1.44307664075699,103.829702590959,587.2222545631419
JURONG EAST STREET 32,1.3461154814996137,103.7335870372462,CHINESE GARDEN MRT STATION (EW25),1.34235282081401,103.732596738363,430.4057402656798
YISHUN STREET 81,1.4132161422396985,103.83484157476136,KHATIB MRT STATION (NS14),1.41738337009565,103.832979908243,505.2233816990877
CHOA CHU KANG NORTH 7,1.3993115194014791,103.74880666612265,YEW TEE MRT STATION (NS5),1.39753506936297,103.747405150236,250.82229231682427
DOVER RISE,1.304416722314186,103.78427862672272,ONE-NORTH MRT STATION (CC23),1.29975987493555,103.78745750525,624.7510945740867
JELLICOE ROAD,1.3082758122416234,103.86311741978174,LAVENDER MRT STATION (EW11),1.30737781747063,103.862767633888,106.65369052760877
SIGLAP ROAD,1.307698754858441,103.9251069477117,SIGLAP MRT STATION (TE28),1.31000869432289,103.930025826708,604.0822290221339
SELETAR ROAD,1.3868247562755682,103.86911221532166,BUANGKOK MRT STATION (NE15),1.38287001971672,103.893122569706,2707.5923172289267
WOODGROVE AVENUE,1.4309435202293417,103.78398122071216,WOODLANDS MRT STATION (NS9),1.43681962961519,103.786066799253,689.9590778407737
BEDOK RESERVOIR ROAD,1.3371448743418242,103.9306484071531,BEDOK RESERVOIR MRT STATION (DT30),1.33660782955099,103.932234623286,186.2498863029159
PASIR RIS GROVE,1.3715213647483648,103.94646450594917,PASIR RIS MRT STATION (EW1),1.37304331635804,103.949284527763,356.1090782905184
LAKESIDE DRIVE,1.3428024873151052,103.71860198903192,LAKESIDE MRT STATION (EW26),1.34425911493819,103.720949087456,306.8738815378238
SIMEI RISE,1.34861038545995,103.96056372190353,UPPER CHANGI MRT STATION (DT34),1.34173977444995,103.961472788634,766.425543291608
JALAN MATA AYER,1.4256938391032905,103.82449333770866,YISHUN MRT STATION (NS13),1.42944308477331,103.835005047246,1241.0868094893633
TAMPINES STREET 86,1.354634549727728,103.92971544186216,TAMPINES WEST MRT STATION (DT31),1.34551530560119,103.938436971222,1399.59840614528
SINARAN DRIVE,1.3194366702506377,103.84505620212656,NOVENA MRT STATION (NS20),1.32044079120154,103.843825618748,176.30535920634898
SIN MING WALK,1.36497333869878,103.83068715829076,BRIGHT HILL MRT STATION (TE7),1.36328318545185,103.832893619992,308.58325215353017
SIMS DRIVE,1.3195074199446093,103.88100529027756,ALJUNIED MRT STATION (EW9),1.3164326118157,103.882906044385,400.43094754556125
PASIR RIS GROVE,1.3701355162540982,103.94372780887088,PASIR RIS MRT STATION (EW1),1.37304331635804,103.949284527763,696.9904920550497
TANGLIN ROAD,1.2919741760661398,103.81656975165204,REDHILL MRT STATION (EW18),1.28963453412887,103.81674097205,259.40636935956366
MARINE PARADE ROAD,1.300819092468142,103.9037457610649,MARINE PARADE MRT STATION (TE26),1.30261163483383,103.904983086812,241.34932272952693
SERANGOON AVENUE 3,1.3507167401781064,103.86255478707136,LORONG CHUAN MRT STATION (CC14),1.35161217074555,103.864151938651,203.46178696583172
PUNGGOL WALK,1.4057553714731503,103.90028350113974,PUNGGOL MRT STATION (NE17),1.40454653668991,103.902072622229,239.81144663263876
ANG MO KIO AVENUE 2,1.3755004316575845,103.83442218814928,MAYFLOWER MRT STATION (TE6),1.37146318831015,103.836567766945,506.2639004642383
RIVER VALLEY ROAD,1.293173476169185,103.82857764482874,GREAT WORLD MRT STATION (TE15),1.29394816169384,103.833720837731,578.7669162008191
HOUGANG STREET 32,1.363767144181473,103.89531474186546,HOUGANG MRT STATION (NE14),1.37129226620797,103.892380513029,893.8710225837486
TAMPINES STREET 86,1.351666239568172,103.9281656881896,TAMPINES WEST MRT STATION (DT31),1.34551530560119,103.938436971222,1330.122103825712
PASIR RIS GROVE,1.3701175326351136,103.9462484068913,PASIR RIS MRT STATION (EW1),1.37304331635804,103.949284527763,467.79273093017974
KEPPEL BAY DRIVE,1.2673609389443514,103.81460470412294,TELOK BLANGAH MRT STATION (CC28),1.27070647717762,103.809761611219,653.7355637850455
SIMEI STREET 3,1.341740410505735,103.95341462424445,SIMEI MRT STATION (EW3),1.34319707851829,103.953377214378,161.12505134564825
SENGKANG EAST AVENUE,1.3811848666489066,103.9025753984062,BUANGKOK MRT STATION (NE15),1.38287001971672,103.893122569706,1068.3559353678008
HONG SAN WALK,1.378074569438784,103.74788171381468,CHOA CHU KANG MRT STATION (NS4),1.38536316540225,103.744370779756,895.655439851252
WEST COAST RISE,1.3169015631943704,103.75363894063872,CLEMENTI MRT STATION (EW23),1.31511625277378,103.765191452888,1300.75135543701
CHESTNUT AVENUE,1.37084569109685,103.77571903637534,CASHEW MRT STATION (DT2),1.36981544925552,103.76443921414,1260.4665949500172
JURONG EAST AVENUE 1,1.3441907037770795,103.73336179099852,CHINESE GARDEN MRT STATION (EW25),1.34235282081401,103.732596738363,220.33879750345872
PUNGGOL CENTRAL,1.4037393895204355,103.90417669997592,PUNGGOL MRT STATION (NE17),1.40454653668991,103.902072622229,250.587840371608
LORONG MYDIN,1.3211432793018332,103.9118083378099,KEMBANGAN MRT STATION (EW6),1.3210381335934,103.912947930851,127.35734641998575
CANBERRA DRIVE,1.441536658199913,103.8277712803094,CANBERRA MRT STATION (NS12),1.44307664075699,103.829702590959,274.20645392057924
YIO CHU KANG ROAD,1.3851278501653022,103.83926218690694,LENTOR MRT STATION (TE5),1.38550657972169,103.835743809669,393.78340129613395
UPPER SERANGOON CRESCENT,1.3781199534518025,103.90229625163276,BUANGKOK MRT STATION (NE15),1.38287001971672,103.893122569706,1148.1048040309668
BEDOK RESERVOIR VIEW,1.3374009394508388,103.93469854954996,BEDOK RESERVOIR MRT STATION (DT30),1.33660782955099,103.932234623286,287.89180087076585
POTONG PASIR AVENUE 1,1.3364923386851888,103.86562886475464,WOODLEIGH MRT STATION (NE11),1.33919004519388,103.87081830915,650.0176693340661
HAVELOCK ROAD,1.2902425961258717,103.841385089711,FORT CANNING MRT STATION (DT20),1.29248194822996,103.844331362465,410.88771482876655
BAYSHORE ROAD,1.3119948568752398,103.94027285891836,BAYSHORE MRT STATION (TE29),1.31312248291264,103.942309776767,258.718507109913
PARI DEDAP WALK,1.3328959543851355,103.94242416252388,TANAH MERAH MRT STATION (EW4),1.32718729074675,103.946348600798,767.5999788722426
